group,team,player_name,position_group,source
A,México,Julián Quiñones,Forward,SillySeason Apr 1 2026
A,México,Raúl Jiménez,Forward,SillySeason Apr 1 2026
A,México,Roberto Alvarado,Forward,SillySeason Apr 1 2026
A,México,Santiago Giménez,Forward,SillySeason Apr 1 2026
A,México,Carlos Acevedo,Goalkeeper,SillySeason Apr 1 2026
A,México,Luis Malagón,Goalkeeper,SillySeason Apr 1 2026
A,México,Raúl Rangel,Goalkeeper,SillySeason Apr 1 2026
A,México,Alexis Gutiérrez,Midfielder,SillySeason Apr 1 2026
A,México,Edson Álvarez,Midfielder,SillySeason Apr 1 2026
A,México,Erick Sánchez,Midfielder,SillySeason Apr 1 2026
A,México,Fidel Ambriz,Midfielder,SillySeason Apr 1 2026
A,México,Gilberto Mora,Midfielder,SillySeason Apr 1 2026
A,México,Marcel Ruiz,Midfielder,SillySeason Apr 1 2026
A,México,Obed Vargas,Midfielder,SillySeason Apr 1 2026
A,México,Orbelín Pineda,Midfielder,SillySeason Apr 1 2026
A,México,Érik Lira,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,David Jurasek,Defender,SillySeason Apr 1 2026
A,República Tcheca,Jaroslav Zeleny,Defender,SillySeason Apr 1 2026
A,República Tcheca,Ladislav Krejci,Defender,SillySeason Apr 1 2026
A,República Tcheca,Martin Vitik,Defender,SillySeason Apr 1 2026
A,República Tcheca,Robin Hranac,Defender,SillySeason Apr 1 2026
A,República Tcheca,Stepan Chaloupek,Defender,SillySeason Apr 1 2026
A,República Tcheca,Tomas Holes,Defender,SillySeason Apr 1 2026
A,República Tcheca,Vladimir Coufal,Defender,SillySeason Apr 1 2026
A,República Tcheca,Jan Kliment,Forward,SillySeason Apr 1 2026
A,República Tcheca,Mojmir Chytil,Forward,SillySeason Apr 1 2026
A,República Tcheca,Patrik Schick,Forward,SillySeason Apr 1 2026
A,República Tcheca,Tomas Chory,Forward,SillySeason Apr 1 2026
A,República Tcheca,Lukas Hornicek,Goalkeeper,SillySeason Apr 1 2026
A,República Tcheca,Martin Jedlicka,Goalkeeper,SillySeason Apr 1 2026
A,República Tcheca,Matej Kovar,Goalkeeper,SillySeason Apr 1 2026
A,República Tcheca,Adam Karabec,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Denis Visinsky,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Lukas Cerv,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Lukas Provod,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Michal Sadilek,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Pavel Bucha,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Pavel Sulc,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Tomas Ladra,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Tomas Soucek,Midfielder,SillySeason Apr 1 2026
A,República Tcheca,Vladimir Darida,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Aubrey Modiba,Defender,SillySeason Apr 1 2026
A,África do Sul,Bradley Cross,Defender,SillySeason Apr 1 2026
A,África do Sul,Fawaaz Basadien,Defender,SillySeason Apr 1 2026
A,África do Sul,Fezile Gcaba,Defender,SillySeason Apr 1 2026
A,África do Sul,Ime Okon,Defender,SillySeason Apr 1 2026
A,África do Sul,Keegan Allan,Defender,SillySeason Apr 1 2026
A,África do Sul,Khuliso Mudau,Defender,SillySeason Apr 1 2026
A,África do Sul,Khulumani Ndamane,Defender,SillySeason Apr 1 2026
A,África do Sul,Malibongwe Khoza,Defender,SillySeason Apr 1 2026
A,África do Sul,Mbekezeli Mbokazi,Defender,SillySeason Apr 1 2026
A,África do Sul,Nkosinathi Sibisi,Defender,SillySeason Apr 1 2026
A,África do Sul,Samukele Kabini,Defender,SillySeason Apr 1 2026
A,África do Sul,Siyabonga Ngezana,Defender,SillySeason Apr 1 2026
A,África do Sul,Thabang Matuludi,Defender,SillySeason Apr 1 2026
A,África do Sul,Thabiso Monyane,Defender,SillySeason Apr 1 2026
A,África do Sul,Thabo Moloisane,Defender,SillySeason Apr 1 2026
A,África do Sul,Thapelo Morena,Defender,SillySeason Apr 1 2026
A,África do Sul,Tylon Smith,Defender,SillySeason Apr 1 2026
A,África do Sul,Vuyo Letlapa,Defender,SillySeason Apr 1 2026
A,África do Sul,Elias Mokwana,Forward,SillySeason Apr 1 2026
A,África do Sul,Iqraam Rayners,Forward,SillySeason Apr 1 2026
A,África do Sul,Lyle Foster,Forward,SillySeason Apr 1 2026
A,África do Sul,Oswin Appollis,Forward,SillySeason Apr 1 2026
A,África do Sul,Percy Tau,Forward,SillySeason Apr 1 2026
A,África do Sul,Relebohile Mofokeng,Forward,SillySeason Apr 1 2026
A,África do Sul,Brandon Petersen,Goalkeeper,SillySeason Apr 1 2026
A,África do Sul,Darren Johnson,Goalkeeper,SillySeason Apr 1 2026
A,África do Sul,Renaldo Leaner,Goalkeeper,SillySeason Apr 1 2026
A,África do Sul,Ricardo Goss,Goalkeeper,SillySeason Apr 1 2026
A,África do Sul,Ronwen Williams,Goalkeeper,SillySeason Apr 1 2026
A,África do Sul,Sipho Chaine,Goalkeeper,SillySeason Apr 1 2026
A,África do Sul,Bathusi Aubaas,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Luke Le Roux,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Mduduzi Shabalala,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Mthetheleli Mthiyane,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Ndamulelo Maphangule,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Patrick Maswanganyi,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Siphesihle Maduna,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Siphesihle Mkhize,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Sipho Mbule,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Sphephelo Sithole,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Teboho Mokoena,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Thalente Mbatha,Midfielder,SillySeason Apr 1 2026
A,África do Sul,Themba Zwane,Midfielder,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Amar Dedić,Defender,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Dennis Hadžikadunić,Defender,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Nidal Čelik,Defender,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Nikola Katić,Defender,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Sead Kolašinac,Defender,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Stjepan Radeljić,Defender,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Tarik Muharemović,Defender,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Edin Džeko,Forward,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Ermedin Demirović,Forward,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Haris Tabaković,Forward,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Jovo Lukić,Forward,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Samed Baždar,Forward,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Martin Zlomislic,Goalkeeper,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Nikola Vasilj,Goalkeeper,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Osman Hadzikic,Goalkeeper,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Amar Memić,Midfielder,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Armin Gigović,Midfielder,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Benjamin Tahirović,Midfielder,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Dženis Burnić,Midfielder,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Esmir Bajraktarević,Midfielder,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Ivan Bašić,Midfielder,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Ivan Šunjić,Midfielder,SillySeason Apr 1 2026
B,Bósnia e Herzegovina,Kerim Alajbegović,Midfielder,SillySeason Apr 1 2026
B,Canadá,Alistair Johnston,Defender,SillySeason Apr 1 2026
B,Canadá,Alphonso Davies,Defender,SillySeason Apr 1 2026
B,Canadá,Derek Cornelius,Defender,SillySeason Apr 1 2026
B,Canadá,Luc de Fougerolles,Defender,SillySeason Apr 1 2026
B,Canadá,Niko Sigur,Defender,SillySeason Apr 1 2026
B,Canadá,Richie Laryea,Defender,SillySeason Apr 1 2026
B,Canadá,Daniel Jebbison,Forward,SillySeason Apr 1 2026
B,Canadá,Jonathan David,Forward,SillySeason Apr 1 2026
B,Canadá,Promise David,Forward,SillySeason Apr 1 2026
B,Canadá,Tani Oluwaseyi,Forward,SillySeason Apr 1 2026
B,Canadá,Dayne St. Clair,Goalkeeper,SillySeason Apr 1 2026
B,Canadá,Max Crépeau,Goalkeeper,SillySeason Apr 1 2026
B,Canadá,Owen Goodman,Goalkeeper,SillySeason Apr 1 2026
B,Canadá,Ali Ahmed,Midfielder,SillySeason Apr 1 2026
B,Canadá,Ismaël Koné,Midfielder,SillySeason Apr 1 2026
B,Canadá,Stephen Eustaquio,Midfielder,SillySeason Apr 1 2026
B,Canadá,Tajon Buchanan,Midfielder,SillySeason Apr 1 2026
B,Catar,Abdelkarim Hassan,Defender,SillySeason Apr 1 2026
B,Catar,Ali Assadalla,Defender,SillySeason Apr 1 2026
B,Catar,Bassam Al-Rawi,Defender,SillySeason Apr 1 2026
B,Catar,Tarek Salman,Defender,SillySeason Apr 1 2026
B,Catar,Akram Afif,Forward,SillySeason Apr 1 2026
B,Catar,Almoez Ali,Forward,SillySeason Apr 1 2026
B,Catar,Hassan Al-Haydos,Forward,SillySeason Apr 1 2026
B,Catar,Meshaal Barsham,Goalkeeper,SillySeason Apr 1 2026
B,Catar,Saad Al Sheeb,Goalkeeper,SillySeason Apr 1 2026
B,Catar,Abdulaziz Hatem,Midfielder,SillySeason Apr 1 2026
B,Catar,Hasan Al-Haydos,Midfielder,SillySeason Apr 1 2026
B,Catar,Salem Al-Hajri,Midfielder,SillySeason Apr 1 2026
B,Suíça,Adrian Bajrami,Defender,SillySeason Apr 1 2026
B,Suíça,Aurèle Amenda,Defender,SillySeason Apr 1 2026
B,Suíça,Becir Omeragic,Defender,SillySeason Apr 1 2026
B,Suíça,Isaac Schmidt,Defender,SillySeason Apr 1 2026
B,Suíça,Luca Jaquez,Defender,SillySeason Apr 1 2026
B,Suíça,Manuel Akanji,Defender,SillySeason Apr 1 2026
B,Suíça,Miro Muheim,Defender,SillySeason Apr 1 2026
B,Suíça,Nico Elvedi,Defender,SillySeason Apr 1 2026
B,Suíça,Ricardo Rodríguez,Defender,SillySeason Apr 1 2026
B,Suíça,Silvan Widmer,Defender,SillySeason Apr 1 2026
B,Suíça,Andi Zeqiri,Forward,SillySeason Apr 1 2026
B,Suíça,Breel Embolo,Forward,SillySeason Apr 1 2026
B,Suíça,Cedric Itten,Forward,SillySeason Apr 1 2026
B,Suíça,Dan Ndoye,Forward,SillySeason Apr 1 2026
B,Suíça,Ruben Vargas,Forward,SillySeason Apr 1 2026
B,Suíça,Gregor Kobel,Goalkeeper,SillySeason Apr 1 2026
B,Suíça,Marvin Keller,Goalkeeper,SillySeason Apr 1 2026
B,Suíça,Yvon Mvogo,Goalkeeper,SillySeason Apr 1 2026
B,Suíça,Christian Fassnacht,Midfielder,SillySeason Apr 1 2026
B,Suíça,Djibril Sow,Midfielder,SillySeason Apr 1 2026
B,Suíça,Fabian Rieder,Midfielder,SillySeason Apr 1 2026
B,Suíça,Granit Xhaka,Midfielder,SillySeason Apr 1 2026
B,Suíça,Johan Manzambi,Midfielder,SillySeason Apr 1 2026
B,Suíça,Michel Aebischer,Midfielder,SillySeason Apr 1 2026
B,Suíça,Simon Sohm,Midfielder,SillySeason Apr 1 2026
B,Suíça,Vincent Sierro,Midfielder,SillySeason Apr 1 2026
C,Brasil,Bremer,Defender,SillySeason Apr 1 2026
C,Brasil,Danilo,Defender,SillySeason Apr 1 2026
C,Brasil,Gabriel Magalhães,Defender,SillySeason Apr 1 2026
C,Brasil,Guilherme Arana,Defender,SillySeason Apr 1 2026
C,Brasil,Marquinhos,Defender,SillySeason Apr 1 2026
C,Brasil,Renan Lodi,Defender,SillySeason Apr 1 2026
C,Brasil,Yan Couto,Defender,SillySeason Apr 1 2026
C,Brasil,Éder Militão,Defender,SillySeason Apr 1 2026
C,Brasil,Endrick,Forward,SillySeason Apr 1 2026
C,Brasil,Gabriel Martinelli,Forward,SillySeason Apr 1 2026
C,Brasil,Raphinha,Forward,SillySeason Apr 1 2026
C,Brasil,Richarlison,Forward,SillySeason Apr 1 2026
C,Brasil,Rodrygo,Forward,SillySeason Apr 1 2026
C,Brasil,Vinícius Júnior,Forward,SillySeason Apr 1 2026
C,Brasil,Alisson Becker,Goalkeeper,SillySeason Apr 1 2026
C,Brasil,Bento,Goalkeeper,SillySeason Apr 1 2026
C,Brasil,Ederson,Goalkeeper,SillySeason Apr 1 2026
C,Brasil,André,Midfielder,SillySeason Apr 1 2026
C,Brasil,Bruno Guimarães,Midfielder,SillySeason Apr 1 2026
C,Brasil,Casemiro,Midfielder,SillySeason Apr 1 2026
C,Brasil,Douglas Luiz,Midfielder,SillySeason Apr 1 2026
C,Brasil,João Gomes,Midfielder,SillySeason Apr 1 2026
C,Brasil,Lucas Paquetá,Midfielder,SillySeason Apr 1 2026
C,Escócia,Andy Robertson,Defender,SillySeason Apr 1 2026
C,Escócia,Jack Hendry,Defender,SillySeason Apr 1 2026
C,Escócia,John McGinn,Defender,SillySeason Apr 1 2026
C,Escócia,Kieran Tierney,Defender,SillySeason Apr 1 2026
C,Escócia,Nathan Patterson,Defender,SillySeason Apr 1 2026
C,Escócia,Scott McKenna,Defender,SillySeason Apr 1 2026
C,Escócia,Ben Doak,Forward,SillySeason Apr 1 2026
C,Escócia,Ché Adams,Forward,SillySeason Apr 1 2026
C,Escócia,Lewis Ferguson,Forward,SillySeason Apr 1 2026
C,Escócia,Lyndon Dykes,Forward,SillySeason Apr 1 2026
C,Escócia,Angus Gunn,Goalkeeper,SillySeason Apr 1 2026
C,Escócia,Craig Gordon,Goalkeeper,SillySeason Apr 1 2026
C,Escócia,Liam Kelly,Goalkeeper,SillySeason Apr 1 2026
C,Escócia,Billy Gilmour,Midfielder,SillySeason Apr 1 2026
C,Escócia,Callum McGregor,Midfielder,SillySeason Apr 1 2026
C,Escócia,Kenny McLean,Midfielder,SillySeason Apr 1 2026
C,Escócia,Ryan Christie,Midfielder,SillySeason Apr 1 2026
C,Escócia,Scott McTominay,Midfielder,SillySeason Apr 1 2026
C,Haiti,Alex Christian Jr,Defender,SillySeason Apr 1 2026
C,Haiti,Carlens Arcus,Defender,SillySeason Apr 1 2026
C,Haiti,Jean-Kevin Duverne,Defender,SillySeason Apr 1 2026
C,Haiti,Ricardo Adé,Defender,SillySeason Apr 1 2026
C,Haiti,Duckens Nazon,Forward,SillySeason Apr 1 2026
C,Haiti,Frantzdy Pierrot,Forward,SillySeason Apr 1 2026
C,Haiti,Mikael Cantave,Forward,SillySeason Apr 1 2026
C,Haiti,Mondy Prunier,Forward,SillySeason Apr 1 2026
C,Haiti,Garissone Innocent,Goalkeeper,SillySeason Apr 1 2026
C,Haiti,Johny Placide,Goalkeeper,SillySeason Apr 1 2026
C,Haiti,Wilguens Pierre,Goalkeeper,SillySeason Apr 1 2026
C,Haiti,Bryan Alceus,Midfielder,SillySeason Apr 1 2026
C,Haiti,Carl-Fred Sainte,Midfielder,SillySeason Apr 1 2026
C,Haiti,Derrick Etienne Jr,Midfielder,SillySeason Apr 1 2026
C,Haiti,Leverton Pierre,Midfielder,SillySeason Apr 1 2026
C,Marrocos,Achraf Hakimi,Defender,SillySeason Apr 1 2026
C,Marrocos,Chadi Riad,Defender,SillySeason Apr 1 2026
C,Marrocos,Jawad El Yamiq,Defender,SillySeason Apr 1 2026
C,Marrocos,Nayef Aguerd,Defender,SillySeason Apr 1 2026
C,Marrocos,Noussair Mazraoui,Defender,SillySeason Apr 1 2026
C,Marrocos,Romain Saïss,Defender,SillySeason Apr 1 2026
C,Marrocos,Abde Ezzalzouli,Forward,SillySeason Apr 1 2026
C,Marrocos,Amine Adli,Forward,SillySeason Apr 1 2026
C,Marrocos,Ayoub El Kaabi,Forward,SillySeason Apr 1 2026
C,Marrocos,Hakim Ziyech,Forward,SillySeason Apr 1 2026
C,Marrocos,Youssef En-Nesyri,Forward,SillySeason Apr 1 2026
C,Marrocos,Ahmed Reda Tagnaouti,Goalkeeper,SillySeason Apr 1 2026
C,Marrocos,Munir El Kajoui,Goalkeeper,SillySeason Apr 1 2026
C,Marrocos,Yassine Bounou,Goalkeeper,SillySeason Apr 1 2026
C,Marrocos,Azzedine Ounahi,Midfielder,SillySeason Apr 1 2026
C,Marrocos,Bilal El Khannouss,Midfielder,SillySeason Apr 1 2026
C,Marrocos,Ismael Saibari,Midfielder,SillySeason Apr 1 2026
C,Marrocos,Selim Amallah,Midfielder,SillySeason Apr 1 2026
C,Marrocos,Sofyan Amrabat,Midfielder,SillySeason Apr 1 2026
D,Austrália,Alessandro Circati,Defender,SillySeason Apr 1 2026
D,Austrália,Cameron Burgess,Defender,SillySeason Apr 1 2026
D,Austrália,Jason Geria,Defender,SillySeason Apr 1 2026
D,Austrália,Jordan Bos,Defender,SillySeason Apr 1 2026
D,Austrália,Kye Rowles,Defender,SillySeason Apr 1 2026
D,Austrália,Lewis Miller,Defender,SillySeason Apr 1 2026
D,Austrália,Miloš Degenek,Defender,SillySeason Apr 1 2026
D,Austrália,Daniel Arzani,Forward,SillySeason Apr 1 2026
D,Austrália,Martin Boyle,Forward,SillySeason Apr 1 2026
D,Austrália,Mitch Duke,Forward,SillySeason Apr 1 2026
D,Austrália,Mohamed Touré,Forward,SillySeason Apr 1 2026
D,Austrália,Nestory Irankunda,Forward,SillySeason Apr 1 2026
D,Austrália,Nicholas D’Agostino,Forward,SillySeason Apr 1 2026
D,Austrália,Joe Gauci,Goalkeeper,SillySeason Apr 1 2026
D,Austrália,Mathew Ryan,Goalkeeper,SillySeason Apr 1 2026
D,Austrália,Paul Izzo,Goalkeeper,SillySeason Apr 1 2026
D,Austrália,Aiden O’Neill,Midfielder,SillySeason Apr 1 2026
D,Austrália,Ajdin Hrustić,Midfielder,SillySeason Apr 1 2026
D,Austrália,Alexander Robertson,Midfielder,SillySeason Apr 1 2026
D,Austrália,Cameron Devlin,Midfielder,SillySeason Apr 1 2026
D,Austrália,Connor Metcalfe,Midfielder,SillySeason Apr 1 2026
D,Austrália,Max Balard,Midfielder,SillySeason Apr 1 2026
D,Austrália,Patrick Yazbek,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Alex Freeman,Defender,SillySeason Apr 1 2026
D,Estados Unidos,Antonee Robinson,Defender,SillySeason Apr 1 2026
D,Estados Unidos,Auston Trusty,Defender,SillySeason Apr 1 2026
D,Estados Unidos,Chris Richards,Defender,SillySeason Apr 1 2026
D,Estados Unidos,Mark McKenzie,Defender,SillySeason Apr 1 2026
D,Estados Unidos,Miles Robinson,Defender,SillySeason Apr 1 2026
D,Estados Unidos,Sergiño Dest,Defender,SillySeason Apr 1 2026
D,Estados Unidos,Tim Ream,Defender,SillySeason Apr 1 2026
D,Estados Unidos,Christian Pulisic,Forward,SillySeason Apr 1 2026
D,Estados Unidos,Diego Luna,Forward,SillySeason Apr 1 2026
D,Estados Unidos,Folarin Balogun,Forward,SillySeason Apr 1 2026
D,Estados Unidos,Haji Wright,Forward,SillySeason Apr 1 2026
D,Estados Unidos,Ricardo Pepi,Forward,SillySeason Apr 1 2026
D,Estados Unidos,Matt Freese,Goalkeeper,SillySeason Apr 1 2026
D,Estados Unidos,Matt Turner,Goalkeeper,SillySeason Apr 1 2026
D,Estados Unidos,Patrick Schulte,Goalkeeper,SillySeason Apr 1 2026
D,Estados Unidos,Brenden Aaronson,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Cristian Roldan,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Giovanni Reyna,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Malik Tillman,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Sebastian Berhalter,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Tanner Tessmann,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Tim Weah,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Tyler Adams,Midfielder,SillySeason Apr 1 2026
D,Estados Unidos,Weston McKennie,Midfielder,SillySeason Apr 1 2026
D,Paraguai,Alan Benítez,Defender,SillySeason Apr 1 2026
D,Paraguai,Alexis Duarte,Defender,SillySeason Apr 1 2026
D,Paraguai,Blas Riveros,Defender,SillySeason Apr 1 2026
D,Paraguai,Gustavo Gómez,Defender,SillySeason Apr 1 2026
D,Paraguai,Gustavo Velázquez,Defender,SillySeason Apr 1 2026
D,Paraguai,Juan Cáceres,Defender,SillySeason Apr 1 2026
D,Paraguai,Junior Alonso,Defender,SillySeason Apr 1 2026
D,Paraguai,Alex Arce,Forward,SillySeason Apr 1 2026
D,Paraguai,Antonio Sanabria,Forward,SillySeason Apr 1 2026
D,Paraguai,Julio Enciso,Forward,SillySeason Apr 1 2026
D,Paraguai,Ronaldo Martínez,Forward,SillySeason Apr 1 2026
D,Paraguai,Aldo Pérez,Goalkeeper,SillySeason Apr 1 2026
D,Paraguai,Orlando Gil,Goalkeeper,SillySeason Apr 1 2026
D,Paraguai,Roberto Fernández,Goalkeeper,SillySeason Apr 1 2026
D,Paraguai,Braian Ojeda,Midfielder,SillySeason Apr 1 2026
D,Paraguai,Diego González,Midfielder,SillySeason Apr 1 2026
D,Paraguai,Diego Gómez,Midfielder,SillySeason Apr 1 2026
D,Paraguai,Hugo Cuenca,Midfielder,SillySeason Apr 1 2026
D,Paraguai,Matías Galarza,Midfielder,SillySeason Apr 1 2026
D,Paraguai,Miguel Almirón,Midfielder,SillySeason Apr 1 2026
D,Paraguai,Ramón Sosa,Midfielder,SillySeason Apr 1 2026
D,Turquia,Abdülkerim Bardakcı,Defender,SillySeason Apr 1 2026
D,Turquia,Ahmetcan Kaplan,Defender,SillySeason Apr 1 2026
D,Turquia,Eren Elmalı,Defender,SillySeason Apr 1 2026
D,Turquia,Ferdi Kadıoğlu,Defender,SillySeason Apr 1 2026
D,Turquia,Merih Demiral,Defender,SillySeason Apr 1 2026
D,Turquia,Mert Müldür,Defender,SillySeason Apr 1 2026
D,Turquia,Mustafa Eskihellaç,Defender,SillySeason Apr 1 2026
D,Turquia,Ozan Kabak,Defender,SillySeason Apr 1 2026
D,Turquia,Samet Akaydin,Defender,SillySeason Apr 1 2026
D,Turquia,Zeki Çelik,Defender,SillySeason Apr 1 2026
D,Turquia,Aral Şimşir,Forward,SillySeason Apr 1 2026
D,Turquia,Arda Güler,Forward,SillySeason Apr 1 2026
D,Turquia,Barış Alper Yılmaz,Forward,SillySeason Apr 1 2026
D,Turquia,Deniz Gül,Forward,SillySeason Apr 1 2026
D,Turquia,Kenan Yıldız,Forward,SillySeason Apr 1 2026
D,Turquia,Kerem Aktürkoğlu,Forward,SillySeason Apr 1 2026
D,Turquia,Oğuz Aydın,Forward,SillySeason Apr 1 2026
D,Turquia,Semih Kılıçsoy,Forward,SillySeason Apr 1 2026
D,Turquia,Yunus Akgün,Forward,SillySeason Apr 1 2026
D,Turquia,İrfan Kahveci,Forward,SillySeason Apr 1 2026
D,Turquia,Altay Bayındır,Goalkeeper,SillySeason Apr 1 2026
D,Turquia,Mert Günok,Goalkeeper,SillySeason Apr 1 2026
D,Turquia,Muhammed Şengezer,Goalkeeper,SillySeason Apr 1 2026
D,Turquia,Uğurcan Çakır,Goalkeeper,SillySeason Apr 1 2026
D,Turquia,Atakan Karazor,Midfielder,SillySeason Apr 1 2026
D,Turquia,Hakan Çalhanoğlu,Midfielder,SillySeason Apr 1 2026
D,Turquia,Kaan Ayhan,Midfielder,SillySeason Apr 1 2026
D,Turquia,Orkun Kökçü,Midfielder,SillySeason Apr 1 2026
D,Turquia,Salih Özcan,Midfielder,SillySeason Apr 1 2026
D,Turquia,İsmail Yüksek,Midfielder,SillySeason Apr 1 2026
E,Alemanha,David Raum,Defender,SillySeason Apr 1 2026
E,Alemanha,Jonathan Tah,Defender,SillySeason Apr 1 2026
E,Alemanha,Malick Thiaw,Defender,SillySeason Apr 1 2026
E,Alemanha,Nathaniel Brown,Defender,SillySeason Apr 1 2026
E,Alemanha,Nico Schlotterbeck,Defender,SillySeason Apr 1 2026
E,Alemanha,Ridle Baku,Defender,SillySeason Apr 1 2026
E,Alemanha,Waldemar Anton,Defender,SillySeason Apr 1 2026
E,Alemanha,Jonathan Burkardt,Forward,SillySeason Apr 1 2026
E,Alemanha,Nick Woltemade,Forward,SillySeason Apr 1 2026
E,Alemanha,Said El Mala,Forward,SillySeason Apr 1 2026
